Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link	ADHD_gene	autism_gene	parkinsons_gene	stuttering_gene	tic_gene
AARSD1	Alanyl-TRNA Synthetase Domain Containing 1	Protein Coding	Q9BTE6	41	GC17M097234	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARSD1	False	True	False	False	False
AASDH	Aminoadipate-Semialdehyde Dehydrogenase	Protein Coding	Q4L235	45	GC04M056340	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASDH	True	False	False	False	False
AASDHPPT	Aminoadipate-Semialdehyde Dehydrogenase-Phosphopantetheinyl Transferase	Protein Coding	Q9NRN7	46	GC11P106075	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASDHPPT	True	True	False	False	False
AASS	Aminoadipate-Semialdehyde Synthase	Protein Coding	Q9UDR5	55	GC07M122073	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS	True	True	True	False	False
AATF	Apoptosis Antagonizing Transcription Factor	Protein Coding	Q9NY61	52	GC17P036948	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATF	False	True	True	False	False
AATK	Apoptosis Associated Tyrosine Kinase	Protein Coding	Q6ZMQ8	50	GC17M098221	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATK	True	False	False	False	False
ABALON	Apoptotic BCL2L1-Antisense Long Non-Coding RNA	RNA Gene		18	GC20P031721	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABALON	False	False	True	False	False
ABAT	4-Aminobutyrate Aminotransferase	Protein Coding	P80404	58	GC16P008674	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABAT	True	True	True	False	True
ABCA1	ATP Binding Cassette Subfamily A Member 1	Protein Coding	O95477	62	GC09M104781	3.15902638435364	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1	True	True	True	False	True
ABCA10	ATP Binding Cassette Subfamily A Member 10	Protein Coding	Q8WWZ4	44	GC17M069147	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA10	True	False	False	False	False
ABCA12	ATP Binding Cassette Subfamily A Member 12	Protein Coding	Q86UK0	52	GC02M214931	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA12	True	True	False	False	False
ABCA13	ATP Binding Cassette Subfamily A Member 13	Protein Coding	Q86UQ4	48	GC07P048171	7.76341915130615	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA13	True	True	False	False	True
ABCA2	ATP Binding Cassette Subfamily A Member 2	Protein Coding	Q9BZC7	55	GC09M137007	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA2	True	True	True	False	False
ABCA3	ATP Binding Cassette Subfamily A Member 3	Protein Coding	Q99758	62	GC16M002275	0.311012744903564	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA3	True	True	False	False	False
ABCA4	ATP Binding Cassette Subfamily A Member 4	Protein Coding	P78363	58	GC01M093992	0.529130697250366	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA4	True	True	False	False	False
ABCA5	ATP Binding Cassette Subfamily A Member 5	Protein Coding	Q8WWZ7	55	GC17M069244	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA5	True	True	True	False	False
ABCA7	ATP Binding Cassette Subfamily A Member 7	Protein Coding	Q8IZY2	58	GC19P151373	3.9130117893219	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA7	True	True	True	False	False
ABCA8	ATP Binding Cassette Subfamily A Member 8	Protein Coding	O94911	48	GC17M068867	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA8	True	False	False	False	False
ABCB1	ATP Binding Cassette Subfamily B Member 1	Protein Coding	P08183	64	GC07M087504	7.39184284210205	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1	True	True	True	False	True
ABCB10	ATP Binding Cassette Subfamily B Member 10	Protein Coding	Q9NRK6	53	GC01M229516	2.5335693359375	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB10	True	True	False	False	True
ABCB11	ATP Binding Cassette Subfamily B Member 11	Protein Coding	O95342	60	GC02M168922	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB11	True	False	False	False	False
ABCB4	ATP Binding Cassette Subfamily B Member 4	Protein Coding	P21439	60	GC07M087365	0.131633654236794	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB4	True	True	False	False	False
ABCB5	ATP Binding Cassette Subfamily B Member 5	Protein Coding	Q2M3G0	55	GC07P020615	7.56225872039795	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB5	True	True	False	False	False
ABCB6	ATP Binding Cassette Subfamily B Member 6 (LAN Blood Group)	Protein Coding	Q9NP58	57	GC02M219209	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB6	True	True	False	False	False
ABCB7	ATP Binding Cassette Subfamily B Member 7	Protein Coding	O75027	57	GC0XM075053	15.0826091766357	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB7	True	True	True	False	False
ABCB8	ATP Binding Cassette Subfamily B Member 8	Protein Coding	Q9NUT2	52	GC07P151028	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB8	True	True	False	False	False
ABCB9	ATP Binding Cassette Subfamily B Member 9	Protein Coding	Q9NP78	50	GC12M124717	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB9	True	True	False	False	False
ABCC1	ATP Binding Cassette Subfamily C Member 1 (ABCC1 Blood Group)	Protein Coding	P33527	61	GC16P015949	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC1	True	True	True	True	False
ABCC10	ATP Binding Cassette Subfamily C Member 10	Protein Coding	Q5T3U5	51	GC06P043427	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC10	True	True	False	False	False
ABCC11	ATP Binding Cassette Subfamily C Member 11	Protein Coding	Q96J66	54	GC16M051499	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC11	True	False	False	False	False
ABCC12	ATP Binding Cassette Subfamily C Member 12	Protein Coding	Q96J65	50	GC16M051498	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC12	True	True	False	False	False
ABCC2	ATP Binding Cassette Subfamily C Member 2	Protein Coding	Q92887	61	GC10P099782	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2	True	False	True	False	False
ABCC3	ATP Binding Cassette Subfamily C Member 3	Protein Coding	O15438	58	GC17P050634	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC3	False	False	True	False	False
ABCC4	ATP Binding Cassette Subfamily C Member 4 (PEL Blood Group)	Protein Coding	O15439	58	GC13M095019	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC4	True	True	True	False	False
ABCC5	ATP Binding Cassette Subfamily C Member 5	Protein Coding	O15440	55	GC03M183919	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC5	True	True	True	False	False
ABCC6	ATP Binding Cassette Subfamily C Member 6	Protein Coding	O95255	60	GC16M050398	4.16079998016357	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC6	True	True	False	False	False
ABCC8	ATP Binding Cassette Subfamily C Member 8	Protein Coding	Q09428	59	GC11M017392	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8	True	True	True	False	False
ABCC9	ATP Binding Cassette Subfamily C Member 9	Protein Coding	O60706	58	GC12M021797	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC9	True	True	True	False	True
ABCD1	ATP Binding Cassette Subfamily D Member 1	Protein Coding	P33897	59	GC0XP153724	7.46701049804688	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD1	True	True	False	False	False
ABCD1P1	ATP Binding Cassette Subfamily D Member 1 Pseudogene 1	Pseudogene		10	GC02M092957	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD1P1	True	False	False	False	False
ABCD2	ATP Binding Cassette Subfamily D Member 2	Protein Coding	Q9UBJ2	54	GC12M039530	1.71298503875732	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD2	True	False	False	False	False
ABCD3	ATP Binding Cassette Subfamily D Member 3	Protein Coding	P28288	57	GC01P094385	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD3	True	True	True	False	False
ABCD4	ATP Binding Cassette Subfamily D Member 4	Protein Coding	O14678	54	GC14M074285	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD4	True	True	False	False	False
ABCE1	ATP Binding Cassette Subfamily E Member 1	Protein Coding	P61221	51	GC04P145097	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCE1	True	True	True	False	False
ABCF1	ATP Binding Cassette Subfamily F Member 1	Protein Coding	Q8NE71	53	GC06P030571	1.25342881679535	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCF1	True	True	False	False	False
ABCF2	ATP Binding Cassette Subfamily F Member 2	Protein Coding	Q9UG63	51	GC07M151211	1.07545459270477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCF2	True	True	True	False	False
ABCF2-H2BK1	ABCF2-H2BK1 Readthrough	Protein Coding		14	GC07M151213	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCF2-H2BK1	False	True	False	False	False
ABCF3	ATP Binding Cassette Subfamily F Member 3	Protein Coding	Q9NUQ8	48	GC03P184186	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCF3	True	False	True	False	False
ABCG1	ATP Binding Cassette Subfamily G Member 1	Protein Coding	P45844	55	GC21P042199	0.657264471054077	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG1	True	True	False	False	False
ABCG2	ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)	Protein Coding	Q9UNQ0	62	GC04M088090	3.08620047569275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2	True	False	True	False	True
ABCG4	ATP Binding Cassette Subfamily G Member 4	Protein Coding	Q9H172	53	GC11P125229	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG4	True	False	False	False	False
ABCG5	ATP Binding Cassette Subfamily G Member 5	Protein Coding	Q9H222	58	GC02M043806	0.558714687824249	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG5	True	True	False	False	False
ABCG8	ATP Binding Cassette Subfamily G Member 8	Protein Coding	Q9H221	54	GC02P045317	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG8	True	True	False	False	False
ABHD1	Abhydrolase Domain Containing 1	Protein Coding	Q96SE0	42	GC02P027123	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD1	True	True	False	False	False
ABHD10	Abhydrolase Domain Containing 10, Depalmitoylase	Protein Coding	Q9NUJ1	46	GC03P111997	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD10	True	True	True	False	False
ABHD11	Abhydrolase Domain Containing 11	Protein Coding	Q8NFV4	46	GC07M073736	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD11	True	True	False	False	False
ABHD12	Abhydrolase Domain Containing 12, Lysophospholipase	Protein Coding	Q8N2K0	54	GC20M025294	1.16820991039276	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD12	False	True	False	False	False
ABHD12B	Abhydrolase Domain Containing 12B	Protein Coding	Q7Z5M8	42	GC14P050872	0.681229293346405	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD12B	False	False	False	True	False
ABHD13	Abhydrolase Domain Containing 13	Protein Coding	Q7L211	43	GC13P108218	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD13	True	True	False	False	False
ABHD14A	Abhydrolase Domain Containing 14A	Protein Coding	Q9BUJ0	43	GC03P065087	3.18935680389404	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD14A	True	True	False	False	False
ABHD14A-ACY1	ABHD14A-ACY1 Readthrough	Protein Coding		27	GC03P051974	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD14A-ACY1	False	True	False	False	False
ABHD14B	Abhydrolase Domain Containing 14B	Protein Coding	Q96IU4	44	GC03M051968	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD14B	True	True	False	False	False
ABHD16A	Abhydrolase Domain Containing 16A, Phospholipase	Protein Coding	O95870	50	GC06M106483	0.859698235988617	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD16A	False	True	False	False	False
ABHD17A	Abhydrolase Domain Containing 17A, Depalmitoylase	Protein Coding	Q96GS6	41	GC19M107802	0.584532201290131	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD17A	False	True	False	False	False
ABHD17C	Abhydrolase Domain Containing 17C, Depalmitoylase	Protein Coding	Q6PCB6	44	GC15P080679	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD17C	True	False	False	False	False
ABHD5	Abhydrolase Domain Containing 5, Lysophosphatidic Acid Acyltransferase	Protein Coding	Q8WTS1	58	GC03P044257	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD5	True	True	False	False	False
ABHD6	Abhydrolase Domain Containing 6, Acylglycerol Lipase	Protein Coding	Q9BV23	50	GC03P065249	2.05753231048584	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD6	False	True	False	False	False
ABI1	Abl Interactor 1	Protein Coding	Q8IZP0	56	GC10M026746	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABI1	True	True	True	False	False
ABI2	Abl Interactor 2	Protein Coding	Q9NYB9	50	GC02P204841	2.92677688598633	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABI2	False	True	False	False	False
ABI3	ABI Family Member 3	Protein Coding	Q9P2A4	47	GC17P049210	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABI3	False	True	True	False	False
ABITRAM	Actin Binding Transcription Modulator	Protein Coding	Q9NX38	38	GC09P108954	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABITRAM	True	False	False	False	True
ABL1	ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase	Protein Coding	P00519	65	GC09P130713	5.56488561630249	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABL1	False	True	True	False	False
ABLIM1	Actin Binding LIM Protein 1	Protein Coding	O14639	44	GC10M114571	0.73432731628418	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABLIM1	True	True	False	False	False
ABLIM3	Actin Binding LIM Protein Family Member 3	Protein Coding	O94929	44	GC05P149141	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABLIM3	False	False	True	False	False
ABO	ABO, Alpha 1-3-N-Acetylgalactosaminyltransferase And Alpha 1-3-Galactosyltransferase	Protein Coding	P16442	49	GC09M133250	3.94696760177612	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO	True	False	False	False	False
ABR	ABR Activator Of RhoGEF And GTPase	Protein Coding	Q12979	48	GC17M001003	0.131633654236794	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABR	False	True	False	False	False
ABR-AS1	ABR Antisense RNA 1	RNA Gene		13	GC17P153462	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABR-AS1	False	True	False	False	False
ABRAXAS1	Abraxas 1, BRCA1 A Complex Subunit	Protein Coding	Q6UWZ7	50	GC04M083464	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABRAXAS1	True	False	False	False	False
ABT1	Activator Of Basal Transcription 1	Protein Coding	Q9ULW3	45	GC06P181726	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABT1	True	True	True	False	False
ABTB3	Ankyrin Repeat And BTB Domain Containing 3	Protein Coding	A6QL63	42	GC12P107319	0.73432731628418	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABTB3	False	True	False	False	False
ACAA1	Acetyl-CoA Acyltransferase 1	Protein Coding	P09110	54	GC03M038103	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAA1	True	True	False	False	False
ACACA	Acetyl-CoA Carboxylase Alpha	Protein Coding	Q13085	62	GC17M037084	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACA	True	True	True	False	False
ACACB	Acetyl-CoA Carboxylase Beta	Protein Coding	O00763	58	GC12P109116	8.5463695526123	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACB	False	True	False	False	False
ACAD8	Acyl-CoA Dehydrogenase Family Member 8	Protein Coding	Q9UKU7	56	GC11P134253	1.75954580307007	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD8	True	True	False	False	False
ACAD9	Acyl-CoA Dehydrogenase Family Member 9	Protein Coding	Q9H845	57	GC03P143107	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD9	True	True	True	True	False
ACADL	Acyl-CoA Dehydrogenase Long Chain	Protein Coding	P28330	53	GC02M210187	0.609472632408142	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADL	True	True	False	False	False
ACADM	Acyl-CoA Dehydrogenase Medium Chain	Protein Coding	P11310	59	GC01P075724	7.72690773010254	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM	True	True	False	False	False
ACADS	Acyl-CoA Dehydrogenase Short Chain	Protein Coding	P16219	58	GC12P138900	9.00419235229492	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADS	True	True	False	False	False
ACADSB	Acyl-CoA Dehydrogenase Short/Branched Chain	Protein Coding	P45954	58	GC10P123008	8.04556751251221	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADSB	True	True	False	False	False
ACADVL	Acyl-CoA Dehydrogenase Very Long Chain	Protein Coding	P49748	59	GC17P153721	3.1806333065033	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADVL	True	True	False	False	False
ACAN	Aggrecan	Protein Coding	P16112	60	GC15P193892	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAN	True	True	True	False	False
ACAP1	ArfGAP With Coiled-Coil, Ankyrin Repeat And PH Domains 1	Protein Coding	Q15027	48	GC17P153739	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAP1	False	True	False	False	False
ACAP3	ArfGAP With Coiled-Coil, Ankyrin Repeat And PH Domains 3	Protein Coding	Q96P50	47	GC01M001292	0.984545171260834	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAP3	False	False	True	False	False
ACAT1	Acetyl-CoA Acetyltransferase 1	Protein Coding	P24752	63	GC11P109833	7.12620735168457	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT1	False	True	False	False	False
ACAT2	Acetyl-CoA Acetyltransferase 2	Protein Coding	Q9BWD1	59	GC06P183876	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT2	True	True	True	False	False
ACBD3	Acyl-CoA Binding Domain Containing 3	Protein Coding	Q9H3P7	50	GC01M226144	0.772881925106049	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD3	False	True	False	False	False
ACBD4	Acyl-CoA Binding Domain Containing 4	Protein Coding	Q8NC06	48	GC17P154922	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD4	True	False	False	False	False
ACBD5	Acyl-CoA Binding Domain Containing 5	Protein Coding	Q5T8D3	51	GC10M027182	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD5	True	False	False	False	False
ACBD6	Acyl-CoA Binding Domain Containing 6	Protein Coding	Q9BR61	50	GC01M186864	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD6	False	True	True	False	True
ACD	ACD Shelterin Complex Subunit And Telomerase Recruitment Factor	Protein Coding	Q96AP0	54	GC16M067865	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACD	False	True	False	False	False
ACE	Angiotensin I Converting Enzyme	Protein Coding	P12821	64	GC17P063477	6.37612390518188	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE	True	True	True	False	True
ACE2	Angiotensin Converting Enzyme 2	Protein Coding	Q9BYF1	62	GC0XM015494	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2	True	True	True	False	True
ACER3	Alkaline Ceramidase 3	Protein Coding	Q9NUN7	50	GC11P076860	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACER3	False	False	True	False	False
ACHE	Acetylcholinesterase (Yt Blood Group)	Protein Coding	P22303	61	GC07M100889	6.83373785018921	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE	True	True	True	False	True
ACIN1	Apoptotic Chromatin Condensation Inducer 1	Protein Coding	Q9UKV3	47	GC14M023058	0.131633654236794	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACIN1	False	True	False	False	False
ACKR2	Atypical Chemokine Receptor 2	Protein Coding	O00590	52	GC03P042804	0.379151344299316	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR2	False	True	False	False	False
ACKR3	Atypical Chemokine Receptor 3	Protein Coding	P25106	52	GC02P236537	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR3	False	False	True	False	False
ACLY	ATP Citrate Lyase	Protein Coding	P53396	59	GC17M041866	1.07545459270477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACLY	False	True	True	False	False
ACMSD	Aminocarboxymuconate Semialdehyde Decarboxylase	Protein Coding	Q8TDX5	50	GC02P134838	5.42906284332275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACMSD	False	True	True	False	False
ACO1	Aconitase 1	Protein Coding	P21399	56	GC09P032374	4.84325504302979	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO1	True	True	True	False	True
ACO2	Aconitase 2	Protein Coding	Q99798	59	GC22P092273	4.08882904052734	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO2	True	True	True	False	False
ACO2P1	ACO2 Pseudogene 1	Pseudogene		7	GC22M086288	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO2P1	True	False	False	False	False
ACOD1	Aconitate Decarboxylase 1	Protein Coding	A6NK06	38	GC13P076949	0.285715848207474	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOD1	False	False	False	False	True
ACOT1	Acyl-CoA Thioesterase 1	Protein Coding	Q86TX2	43	GC14P073653	0.73432731628418	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT1	False	True	False	False	False
ACOT13	Acyl-CoA Thioesterase 13	Protein Coding	Q9NPJ3	48	GC06P024667	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT13	True	False	False	False	False
ACOT2	Acyl-CoA Thioesterase 2	Protein Coding	P49753	44	GC14P073567	0.584532201290131	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT2	False	True	False	False	False
ACOT7	Acyl-CoA Thioesterase 7	Protein Coding	O00154	54	GC01M022285	7.83991622924805	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT7	False	True	False	False	False
ACOT8	Acyl-CoA Thioesterase 8	Protein Coding	O14734	47	GC20M045841	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT8	True	True	True	False	False
ACOT9	Acyl-CoA Thioesterase 9	Protein Coding	Q9Y305	48	GC0XM023701	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT9	False	True	False	False	False
ACOX1	Acyl-CoA Oxidase 1	Protein Coding	Q15067	58	GC17M075941	14.2557973861694	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOX1	True	True	True	False	False
ACOX2	Acyl-CoA Oxidase 2	Protein Coding	Q99424	57	GC03M058506	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOX2	True	True	False	False	False
ACOX3	Acyl-CoA Oxidase 3, Pristanoyl	Protein Coding	O15254	52	GC04M008510	1.71298503875732	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOX3	True	False	False	False	False
ACP1	Acid Phosphatase 1	Protein Coding	P24666	55	GC02P001239	0.750343501567841	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP1	True	True	False	False	True
